,지역번호,지역,2008년01월_계,2008년02월_계,2008년03월_계,2008년04월_계,2008년05월_계,2008년06월_계,2008년07월_계,2008년08월_계,2008년09월_계,2008년10월_계,2008년11월_계,2008년12월_계
0,1,전국  ,41182,41537,40749,39625,38863,35929,38009,36235,39768,41307,36111,41075
1,1100000000,서울특별시  ,8005,8618,8338,8137,8051,7398,7823,7394,8115,8523,7376,8463
2,1111000000,서울특별시 종로구 ,109,118,95,82,82,84,101,87,98,119,90,104
3,1111051000,서울특별시 종로구 청운동,4,1,2,2,2,2,3,1,2,1,0,0
4,1111051500,서울특별시 종로구 청운효자동,0,0,0,0,0,0,0,0,0,0,9,10
5,1111052000,서울특별시 종로구 효자동,9,7,13,7,11,6,10,6,5,7,0,0
6,1111053000,서울특별시 종로구 사직동,2,9,2,5,6,0,11,6,8,4,7,10
7,1111054000,서울특별시 종로구 삼청동,3,5,5,1,0,1,2,2,3,1,2,2
8,1111055000,서울특별시 종로구 부암동,3,8,4,4,1,5,3,4,3,5,3,5
9,1111056000,서울특별시 종로구 평창동,14,11,9,4,9,11,7,4,16,15,11,10
10,1111057000,서울특별시 종로구 무악동,5,4,2,4,3,2,5,7,4,7,1,6
11,1111058000,서울특별시 종로구 교남동,7,10,6,6,5,6,2,3,6,12,7,9
12,1111060000,서울특별시 종로구 가회동,6,2,2,4,2,1,3,0,1,1,3,4
13,1111061500,서울특별시 종로구 종로1.2.3.4가동,5,8,3,4,4,4,5,7,3,5,6,5
14,1111063000,서울특별시 종로구 종로5.6가동,1,5,2,4,0,3,6,4,1,5,3,1
15,1111064000,서울특별시 종로구 이화동,2,7,3,5,3,9,8,5,4,4,6,5
16,1111065000,서울특별시 종로구 혜화동,7,7,8,5,2,7,6,3,8,12,4,7
17,1111066000,서울특별시 종로구 명륜3가동,3,5,1,1,2,4,3,0,5,4,0,1
18,1111067000,서울특별시 종로구 창신제1동,8,2,7,2,7,3,2,5,3,4,1,5
19,1111068000,서울특별시 종로구 창신제2동,8,5,8,4,7,8,3,12,6,12,4,6
20,1111069000,서울특별시 종로구 창신제3동,8,6,10,7,6,9,10,5,9,7,6,9
21,1111070000,서울특별시 종로구 숭인제1동,6,8,5,6,6,1,6,10,4,6,6,5
22,1111071000,서울특별시 종로구 숭인제2동,8,8,3,7,6,2,6,3,7,7,11,4
23,1114000000,서울특별시 중구 ,102,103,90,105,91,111,84,93,100,98,85,95
24,1114052000,서울특별시 중구 소공동,1,1,1,0,1,0,3,2,1,1,0,1
25,1114054000,서울특별시 중구 회현동,1,6,0,3,3,1,1,2,5,1,1,1
26,1114055000,서울특별시 중구 명동,2,2,2,2,1,3,0,2,0,0,1,0
27,1114057000,서울특별시 중구 필동,3,3,3,2,2,5,1,2,3,3,2,3
28,1114058000,서울특별시 중구 장충동,1,7,2,5,4,4,2,2,3,6,2,2
29,1114059000,서울특별시 중구 광희동,3,3,1,3,7,2,0,1,6,0,3,3
30,1114060500,서울특별시 중구 을지로동,3,0,0,2,0,0,1,0,1,0,0,0
31,1114061000,서울특별시 중구 신당제1동,3,6,4,6,1,2,2,3,4,2,4,1
32,1114062000,서울특별시 중구 신당제2동,14,21,13,23,9,9,13,10,13,15,10,11
33,1114063000,서울특별시 중구 신당제3동,21,19,22,18,19,23,19,20,13,26,15,21
34,1114064000,서울특별시 중구 신당제4동,15,14,15,15,14,21,9,11,14,14,10,15
35,1114065000,서울특별시 중구 신당제5동,7,3,4,8,7,7,8,7,6,2,6,5
36,1114066000,서울특별시 중구 신당제6동,11,6,12,6,8,10,2,11,11,5,7,8
37,1114067000,서울특별시 중구 황학동,4,5,0,0,5,15,12,10,10,9,13,15
38,1114068000,서울특별시 중구 중림동,13,7,11,12,10,9,11,10,10,14,11,9
39,1117000000,서울특별시 용산구 ,203,201,193,187,175,196,182,190,189,181,191,213
40,1117051000,서울특별시 용산구 후암동,15,10,6,12,14,13,12,9,17,13,18,24
41,1117052000,서울특별시 용산구 용산2가동,16,9,4,5,6,10,7,12,6,8,9,8
42,1117053000,서울특별시 용산구 남영동,6,3,7,9,4,8,3,4,3,1,5,5
43,1117054000,서울특별시 용산구 청파제1동,13,16,12,11,12,0,0,0,0,0,0,0
44,1117055000,서울특별시 용산구 청파제2동,6,2,7,2,3,7,0,0,0,0,0,0
45,1117055500,서울특별시 용산구 청파동,0,0,0,0,0,7,16,7,19,18,18,20
46,1117056000,서울특별시 용산구 원효로제1동,5,6,10,3,2,2,8,15,12,12,13,13
47,1117057000,서울특별시 용산구 원효로제2동,14,19,18,12,14,23,18,11,16,18,23,25
48,1117058000,서울특별시 용산구 효창동,17,11,11,8,5,11,7,13,5,10,8,7
49,1117059000,서울특별시 용산구 용문동,16,13,10,18,9,6,11,9,10,11,7,12
50,1117060000,서울특별시 용산구 한강로제1동,3,14,11,8,8,0,0,0,0,0,0,0
51,1117061000,서울특별시 용산구 한강로제2동,2,2,5,5,2,5,0,0,0,0,0,0
52,1117062000,서울특별시 용산구 한강로제3동,5,6,7,12,6,8,0,0,0,0,0,0
53,1117062500,서울특별시 용산구 한강로동,0,0,0,0,0,14,11,17,15,4,14,9
54,1117063000,서울특별시 용산구 이촌제1동,24,16,24,21,28,22,21,23,21,24,20,29
55,1117064000,서울특별시 용산구 이촌제2동,12,13,16,12,18,14,14,14,17,11,11,13
56,1117065000,서울특별시 용산구 이태원제1동,6,5,1,2,2,4,4,3,9,5,5,4
57,1117066000,서울특별시 용산구 이태원제2동,8,9,10,12,13,12,10,6,9,7,10,10
58,1117067000,서울특별시 용산구 한남제1동,7,11,14,11,10,0,0,0,0,0,0,0
59,1117068000,서울특별시 용산구 한남제2동,6,10,9,6,5,1,0,0,0,0,0,0
60,1117068500,서울특별시 용산구 한남동,0,0,0,0,0,10,21,18,12,19,14,16
61,1117069000,서울특별시 용산구 서빙고동,9,10,4,5,5,12,5,15,9,10,5,7
62,1117070000,서울특별시 용산구 보광동,13,16,7,13,9,7,14,14,9,10,11,11
63,1120000000,서울특별시 성동구 ,292,294,302,293,323,268,278,246,287,280,263,281
64,1120051000,서울특별시 성동구 왕십리제1동,11,7,8,13,6,6,11,0,0,0,0,0
65,1120052000,서울특별시 성동구 왕십리제2동,14,10,17,12,19,19,16,10,19,16,19,19
66,1120053000,서울특별시 성동구 도선동,8,11,10,8,5,7,6,0,0,0,0,0
67,1120053500,서울특별시 성동구 왕십리도선동,0,0,0,0,0,0,0,9,15,12,10,10
68,1120054000,서울특별시 성동구 마장동,13,22,16,25,29,19,20,16,21,27,23,23
69,1120055000,서울특별시 성동구 사근동,10,5,5,3,2,4,9,9,8,5,8,3
70,1120056000,서울특별시 성동구 행당제1동,9,19,19,26,14,12,19,17,16,20,15,13
71,1120057000,서울특별시 성동구 행당제2동,30,20,26,20,32,22,24,27,25,23,25,31
72,1120058000,서울특별시 성동구 응봉동,15,19,18,16,23,15,14,20,20,14,17,23
73,1120059000,서울특별시 성동구 금호1가동,24,27,25,21,18,9,19,20,15,15,10,13
74,1120060000,서울특별시 성동구 금호2가동,10,6,6,13,10,12,3,0,0,0,0,0
75,1120061000,서울특별시 성동구 금호3가동,12,14,23,7,20,14,16,6,0,0,0,0
76,1120061500,서울특별시 성동구 금호2.3가동,0,0,0,0,0,0,0,12,29,19,21,16
77,1120062000,서울특별시 성동구 금호4가동,19,13,19,22,20,17,21,11,24,24,15,13
78,1120063000,서울특별시 성동구 옥수제1동,9,6,6,4,7,8,8,0,0,0,0,0
79,1120064000,서울특별시 성동구 옥수제2동,20,30,26,12,31,20,17,4,0,0,0,0
80,1120064500,서울특별시 성동구 옥수동,0,0,0,0,0,0,0,13,24,29,17,24
81,1120065000,서울특별시 성동구 성수1가제1동,21,10,18,25,17,11,17,18,11,13,19,15
82,1120066000,서울특별시 성동구 성수1가제2동,16,27,25,12,23,28,14,21,16,23,19,23
83,1120067000,서울특별시 성동구 성수2가제1동,24,16,15,17,17,20,14,12,23,14,12,14
84,1120069000,서울특별시 성동구 성수2가제3동,7,11,9,12,7,9,7,9,8,7,17,17
85,1120072000,서울특별시 성동구 송정동,13,12,6,8,11,8,8,4,7,11,4,6
86,1120079000,서울특별시 성동구 용답동,7,9,5,17,12,8,15,8,6,8,12,18
87,1121500000,서울특별시 광진구 ,311,337,318,288,279,273,287,272,298,279,255,321
88,1121571000,서울특별시 광진구 화양동,13,12,10,12,9,16,5,17,16,11,13,25
89,1121573000,서울특별시 광진구 군자동,21,17,15,17,11,14,18,17,13,16,10,16
90,1121574000,서울특별시 광진구 중곡제1동,12,23,17,10,17,11,18,6,11,21,19,17
91,1121575000,서울특별시 광진구 중곡제2동,18,16,22,10,12,17,15,18,11,11,13,20
92,1121576000,서울특별시 광진구 중곡제3동,15,14,10,13,15,13,5,10,22,12,15,19
93,1121577000,서울특별시 광진구 중곡제4동,27,27,29,21,22,30,21,27,19,13,20,18
94,1121578000,서울특별시 광진구 능동,13,13,12,12,11,6,13,6,11,12,10,8
95,1121581000,서울특별시 광진구 광장동,24,25,36,14,21,19,26,25,23,19,22,34
96,1121582000,서울특별시 광진구 자양제1동,18,27,18,21,20,20,21,23,20,14,16,23
97,1121583000,서울특별시 광진구 자양제2동,31,30,21,25,23,18,25,25,33,28,18,20
98,1121584000,서울특별시 광진구 자양제3동,35,40,40,24,24,38,33,29,25,28,29,21
99,1121584500,서울특별시 광진구 노유제1동,0,0,0,0,0,0,0,0,0,0,0,0
100,1121584600,서울특별시 광진구 노유제2동,0,0,0,0,0,0,0,0,0,0,0,0
101,1121584700,서울특별시 광진구 자양제4동,17,24,18,21,23,19,22,12,19,13,20,21
102,1121585000,서울특별시 광진구 구의제1동,24,17,25,32,19,13,24,21,19,24,15,26
103,1121586000,서울특별시 광진구 구의제2동,15,29,24,32,19,18,17,16,20,24,11,22
104,1121587000,서울특별시 광진구 구의제3동,28,23,21,24,33,21,24,20,36,33,24,31
105,1123000000,서울특별시 동대문구 ,305,306,266,281,270,259,293,242,273,297,242,270
106,1123051000,서울특별시 동대문구 신설동,10,9,2,5,7,9,7,7,7,11,7,7
