YYMM,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
801,7666,10514,7323,9014,5406,12477,18037,14970,9415,14255,9840,9964,15453,9095,13682,8749,11414,12171,9113,9333,9102,11599,15012,8473
802,7683,10542,7362,9036,5440,12504,18131,14955,9441,14283,9884,9968,15466,9084,13781,8758,11534,12204,9131,9336,9148,11622,15085,8472
803,7708,10560,7392,9043,5464,12563,18203,14949,9453,14318,9927,10010,15486,9101,13847,8769,11660,12231,9135,9374,9204,11647,15156,8453
804,7712,10580,7394,9033,5484,12568,18246,14954,9470,14341,9923,10032,15499,9103,13862,8775,11657,12272,9132,9355,9219,11694,15166,8446
805,7715,10567,7392,9023,5469,12587,18266,14950,9512,14348,9930,10036,15506,9096,13883,8762,11675,12265,9140,9365,9218,11715,15180,8438
806,7715,10557,7384,9022,5466,12610,18262,14944,9504,14356,9954,10025,15522,9084,13865,8753,11682,12259,9110,9381,9216,11712,15174,8444
807,7689,10551,7382,9028,5467,12610,18276,14952,9519,14336,9944,10030,15543,9081,13867,8747,11683,12253,9110,9396,9232,11711,15197,8433
808,7699,10565,7391,9047,5464,12623,18288,14962,9531,14349,9969,10039,15593,9073,13862,8779,11681,12276,9124,9398,9253,11707,15221,8441
809,7728,10571,7409,9064,5454,12646,18306,14972,9558,14357,9975,10045,15598,9084,13855,8789,11702,12290,9128,9384,9263,11724,15251,8438
810,7729,10580,7402,9053,5453,12655,18338,14961,9573,14350,9963,10057,15644,9086,13866,8784,11702,12302,9141,9385,9278,11706,15277,8445
811,7733,10589,7421,9045,5464,12652,18386,14946,9565,14332,9953,10071,15666,9091,13866,8783,11703,12327,9164,9376,9295,11666,15294,8447
812,7735,10569,7417,9043,5462,12607,18380,14913,9560,14298,9967,10084,15783,9141,13869,8752,11718,12320,9127,9360,9291,11662,15288,8473
901,7735,10554,7457,9046,5466,12608,18394,14900,9588,14279,9994,10088,15722,9122,13900,8762,11740,12333,9152,9352,9318,11665,15304,8466
902,7753,10573,7483,9058,5473,12589,18422,14877,9607,14303,10025,10108,15717,9132,13933,8771,11763,12345,9151,9360,9337,11665,15366,8469
903,7796,10590,7524,9084,5483,12621,18484,14889,9646,14315,10054,10131,15731,9157,13936,8756,11771,12368,9175,9377,9375,11693,15407,8478
904,7824,10629,7546,9111,5510,12639,18565,14910,9690,14345,10088,10166,15726,9162,13999,8776,11798,12379,9184,9386,9390,11721,15451,8475
905,7820,10634,7566,9115,5519,12658,18574,14910,9692,14336,10097,10170,15737,9159,14011,8771,11821,12390,9205,9382,9416,11735,15463,8464
906,7816,10635,7590,9118,5536,12656,18562,14900,9712,14324,10102,10184,15768,9177,13991,8776,11821,12394,9225,9411,9423,11732,15447,8462
907,7822,10663,7609,9120,5538,12669,18597,14914,9734,14336,10125,10233,15803,9203,13980,8795,11847,12390,9249,9427,9431,11734,15454,8489
908,7842,10677,7630,9149,5547,12692,18614,14948,9739,14348,10120,10256,15826,9196,13989,8806,11843,12393,9264,9422,9436,11739,15501,8504
909,7843,10686,7650,9154,5540,12682,18633,14979,9741,14367,10122,10278,15828,9190,14018,8802,11877,12407,9270,9435,9437,11735,15537,8499
910,7833,10726,7643,9150,5547,12679,18625,14981,9748,14362,10145,10266,15837,9199,13986,8788,11883,12439,9261,9443,9442,11743,15567,8501
911,7840,10737,7647,9164,5532,12667,18604,14983,9736,14341,10160,10281,15859,9175,13985,8775,11879,12430,9237,9438,9439,11729,15584,8501
912,7843,10712,7643,9168,5539,12655,18588,15004,9736,14318,10182,10284,15881,9185,13957,8754,11883,12415,9223,9442,9450,11728,15586,8494
1001,7871,10727,7663,9185,5548,12667,18597,15011,9730,14311,10191,10309,15854,9194,13953,8777,11890,12416,9224,9447,9461,11726,15626,8489
1002,7903,10743,7664,9201,5562,12706,18620,15003,9750,14312,10206,10315,15864,9181,13950,8802,11926,12417,9248,9485,9475,11756,15679,8499
1003,7917,10755,7684,9226,5589,12758,18651,14991,9773,14340,10242,10338,15880,9201,13982,8811,11953,12438,9262,9501,9483,11791,15708,8515
1004,7946,10784,7700,9230,5596,12787,18698,15000,9821,14363,10263,10376,15898,9204,14016,8838,11965,12457,9271,9526,9503,11846,15731,8522
1005,7952,10799,7704,9258,5607,12842,18718,15035,9832,14383,10284,10418,15935,9231,14057,8839,11956,12468,9280,9556,9518,11874,15746,8542
1006,7938,10813,7716,9263,5612,12825,18730,15035,9819,14397,10280,10415,15913,9221,14043,8854,11985,12460,9279,9567,9515,11868,15818,8551
1007,7921,10806,7710,9268,5605,12835,18714,15043,9808,14406,10278,10442,15924,9213,14014,8843,11978,12472,9312,9602,9511,11892,15814,8541
1008,7884,10811,7713,9262,5602,12838,18680,15032,9797,14404,10280,10431,15903,9194,14004,8847,11967,12483,9318,9611,9504,11895,15814,8555
1009,7874,10811,7701,9245,5588,12837,18649,15025,9783,14369,10269,10436,15892,9184,13981,8857,11964,12473,9288,9612,9488,11899,15814,8543
1010,7895,10852,7745,9280,5642,12892,18740,15039,9860,14466,10331,10469,15966,9196,14046,8908,12012,12482,9310,9647,9557,11948,15893,8584
1011,7880,10840,7742,9259,5629,12855,18684,15016,9827,14451,10327,10461,15948,9175,14013,8880,11993,12451,9296,9618,9533,11938,15869,8578
1012,7870,10825,7739,9241,5616,12862,18655,14984,9800,14415,10316,10432,15953,9167,13967,8854,11976,12436,9279,9605,9515,11932,15839,8579
1101,7864,10827,7744,9232,5623,12856,18644,14944,9788,14394,10322,10431,15945,9158,13959,8843,11943,12426,9269,9601,9484,11908,15820,8565
1102,7854,10841,7753,9245,5627,12861,18627,14947,9788,14385,10307,10451,15956,9154,13945,8831,11937,12389,9272,9605,9489,11910,15855,8566
1103,7851,10842,7761,9259,5627,12856,18624,14977,9790,14392,10339,10461,15971,9178,13958,8836,11944,12392,9287,9630,9527,11910,15847,8578
1104,7833,10850,7761,9264,5618,12889,18575,15001,9771,14384,10340,10464,15978,9176,13939,8850,11949,12417,9277,9622,9539,11908,15839,8572
1105,7822,10857,7754,9255,5619,12927,18565,15041,9756,14406,10332,10464,15974,9179,13945,8852,11947,12424,9307,9626,9547,11914,15843,8577
1106,7810,10829,7748,9270,5622,12935,18526,15041,9751,14406,10352,10480,15938,9151,13923,8852,11935,12434,9332,9637,9549,11946,15849,8571
