YYMM,전라남도 고흥군 ,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
801,6467,2139,3380,2589,2966,1740,3710,5132,5201,3129,4785,3247,3189,5217,3017,4388,3066,4145,4413,3264,3170,3170,3964,5780,3102
802,6439,2123,3370,2571,2974,1709,3695,5086,4996,3108,4820,3242,3164,5056,2973,4346,3059,4133,4360,3249,3155,3187,3935,5786,3042
803,6396,2110,3335,2531,2942,1692,3695,5056,4879,3087,4795,3221,3148,4925,2926,4331,3040,4521,4335,3239,3133,3188,3929,5735,2999
804,6357,2093,3305,2524,2932,1673,3674,5018,4792,3061,4760,3203,3131,4864,2884,4327,3034,4294,4316,3216,3132,3188,3917,5703,2959
805,6332,2076,3313,2501,2894,1662,3674,5001,4755,3055,4741,3189,3136,4795,2863,4291,3008,4211,4316,3204,3098,3176,3907,5686,2928
806,6314,2061,3322,2473,2889,1649,3666,4959,4702,3037,4734,3173,3135,4782,2850,4284,2995,4175,4307,3216,3088,3185,3921,5682,2918
807,6265,2051,3286,2459,2879,1651,3684,4930,4673,3023,4693,3180,3117,4811,2809,4262,2955,4124,4290,3189,3074,3148,3886,5639,2893
808,6212,2057,3265,2435,2869,1633,3674,4902,4611,3008,4708,3171,3108,4873,2793,4255,2948,4070,4295,3176,3052,3137,3887,5603,2876
809,6180,2044,3250,2432,2853,1611,3658,4903,4569,3010,4701,3162,3088,4902,2794,4255,2926,4056,4273,3164,3043,3123,3888,5597,2866
810,6131,2037,3238,2417,2848,1606,3631,4885,4530,2991,4669,3152,3074,4938,2820,4262,2913,4012,4242,3139,3018,3115,3867,5570,2879
811,6112,2025,3231,2403,2843,1601,3626,4871,4513,2975,4652,3150,3056,5002,2817,4223,2878,3979,4217,3122,3009,3105,3852,5553,2895
812,6087,2014,3232,2388,2807,1609,3596,4872,4471,2955,4642,3144,3054,5369,2902,4159,2839,3952,4194,3101,2980,3095,3829,5533,2988
901,6087,2013,3203,2370,2821,1592,3598,4850,4428,2958,4598,3125,3060,5047,2843,4162,2807,3909,4163,3090,2961,3084,3838,5527,2873
902,6068,1980,3190,2338,2831,1581,3606,4821,4414,2948,4562,3099,3028,4868,2826,4121,2797,3856,4149,3065,2956,3071,3831,5523,2808
903,6038,1959,3165,2341,2820,1560,3602,4782,4373,2930,4524,3101,3038,4759,2797,4122,2769,3875,4142,3059,2960,3074,3814,5464,2769
904,5979,1965,3147,2321,2812,1543,3573,4759,4356,2911,4481,3077,3002,4683,2795,4123,2747,3868,4123,3037,2954,3047,3771,5471,2756
905,5943,1928,3132,2314,2819,1546,3551,4724,4329,2881,4494,3078,2970,4662,2789,4099,2736,3842,4100,3011,2950,3037,3745,5443,2768
906,5906,1911,3105,2305,2817,1519,3564,4690,4334,2872,4495,3063,2972,4639,2771,4068,2734,3816,4093,3002,2945,3039,3728,5424,2767
907,5915,1899,3085,2282,2804,1523,3580,4667,4319,2857,4501,3053,2963,4622,2745,4062,2743,3788,4072,3001,2924,3037,3730,5418,2752
908,5912,1899,3085,2264,2789,1518,3561,4645,4287,2847,4484,3056,2947,4574,2717,4057,2733,3768,4035,2997,2922,2994,3725,5399,2791
909,5896,1875,3081,2250,2769,1507,3546,4638,4262,2853,4450,3056,2946,4542,2707,4043,2726,3745,4036,2975,2915,2999,3714,5407,2787
910,5881,1865,3070,2241,2760,1496,3514,4637,4243,2847,4425,3038,2928,4528,2703,4020,2713,3720,4028,2952,2904,3014,3700,5398,2772
911,5834,1864,3080,2217,2741,1490,3486,4589,4224,2836,4426,3016,2919,4547,2741,4001,2704,3700,4006,2944,2908,3001,3700,5372,2771
912,5836,1849,3077,2192,2728,1504,3480,4581,4355,2821,4410,3016,2911,4680,2777,3993,2703,3669,4011,2936,2915,2989,3678,5367,2786
1001,5801,1859,3064,2166,2729,1495,3494,4555,4291,2808,4383,3007,2905,4501,2748,3978,2679,3662,4005,2926,2902,2980,3693,5362,2759
1002,5783,1861,3057,2147,2725,1500,3483,4512,4268,2804,4390,3020,2935,4417,2743,3950,2692,3628,3966,2914,2891,2985,3666,5368,2765
1003,5752,1854,3033,2123,2728,1486,3501,4458,4227,2803,4354,3025,2915,4353,2741,3933,2680,3599,3951,2896,2893,2949,3658,5345,2769
1004,5711,1875,2992,2109,2717,1474,3532,4446,4205,2816,4348,3036,2910,4331,2739,3915,2659,3582,3935,2895,2880,2946,3654,5326,2760
1005,5668,1890,2979,2095,2706,1471,3547,4436,4197,2838,4332,3027,2897,4302,2732,3905,2655,3549,3927,2883,2873,2924,3624,5328,2761
1006,5620,1859,2967,2094,2690,1463,3524,4410,4147,2815,4324,3020,2874,4264,2700,3882,2642,3537,3896,2862,2861,2899,3607,5334,2742
1007,5591,1834,2968,2088,2675,1449,3542,4422,4129,2824,4301,2991,2871,4240,2703,3861,2643,3529,3892,2836,2868,2893,3622,5329,2718
1008,5547,1800,2965,2089,2661,1436,3507,4383,4121,2818,4284,2971,2862,4195,2686,3856,2644,3509,3879,2806,2865,2878,3602,5294,2710
1009,5532,1793,2946,2085,2656,1427,3497,4390,4098,2810,4277,2955,2871,4173,2688,3877,2631,3502,3861,2793,2856,2870,3603,5259,2709
1010,5560,1805,2991,2112,2677,1433,3538,4437,4161,2840,4303,2988,2901,4191,2714,3910,2645,3553,3893,2810,2890,2925,3639,5305,2746
1011,5535,1809,2970,2107,2668,1423,3512,4423,4142,2815,4262,2970,2894,4151,2699,3893,2619,3524,3892,2787,2872,2905,3630,5283,2734
1012,5539,1791,2978,2099,2675,1417,3495,4407,4114,2769,4251,2948,2902,4118,2673,3846,2607,3484,3851,2769,2845,2893,3628,5251,2755
1101,5511,1783,2971,2080,2653,1400,3467,4380,4098,2746,4217,2925,2883,4090,2667,3830,2600,3481,3829,2766,2844,2883,3609,5238,2707
1102,5481,1759,2963,2054,2645,1390,3444,4359,4068,2742,4206,2894,2870,4042,2625,3824,2569,3460,3788,2751,2815,2869,3586,5217,2678
1103,5447,1741,2939,2045,2629,1389,3427,4324,4042,2727,4174,2873,2854,4009,2648,3817,2566,3437,3781,2751,2812,2870,3595,5193,2666
1104,5431,1726,2940,2045,2619,1379,3407,4289,4032,2705,4163,2876,2849,4018,2621,3808,2556,3420,3747,2751,2792,2869,3590,5173,2672
1105,5409,1731,2920,2043,2598,1362,3399,4275,4014,2681,4133,2863,2844,3996,2610,3785,2525,3378,3750,2746,2784,2870,3582,5157,2677
1106,5361,1718,2901,2051,2585,1355,3395,4275,4007,2679,4118,2881,2838,3978,2621,3788,2524,3357,3748,2715,2771,2861,3565,5160,2667
1107,5332,1705,2901,2053,2577,1344,3399,4254,4007,2676,4115,2868,2823,3975,2605,3786,2519,3346,3731,2678,2753,2845,3542,5160,2657
1108,5315,1693,2883,2050,2565,1347,3374,4213,4098,2677,4102,2851,2812,3954,2597,3815,2500,3337,3708,2669,2760,2828,3525,5143,2636
1109,5315,1690,2869,2038,2567,1351,3355,4199,4154,2684,4098,2867,2810,3919,2568,3808,2488,3310,3703,2660,2766,2815,3526,5133,2613
1110,5270,1688,2846,2019,2559,1348,3321,4194,4146,2691,4083,2893,2807,3906,2561,3792,2504,3299,3703,2669,2765,2800,3513,5102,2594
1111,5244,1685,2832,2011,2564,1343,3297,4178,4138,2682,4070,2894,2782,3888,2549,3785,2539,3292,3704,2665,2763,2793,3517,5102,2581
1112,5220,1682,2820,2017,2566,1341,3266,4161,4215,2666,4048,2903,2785,3936,2585,3769,2560,3288,3670,2635,2762,2790,3588,5092,2585
1201,5182,1679,2816,2007,2558,1322,3244,4142,4115,2663,4041,2881,2773,3894,2538,3776,2540,3252,3649,2620,2756,2785,3522,5089,2577
1202,5146,1670,2819,2016,2535,1315,3260,4118,4007,2647,3977,2867,2755,3845,2488,3743,2519,3223,3638,2600,2763,2807,3496,5058,2572
1203,5102,1661,2803,2016,2539,1334,3229,4093,3968,2634,3972,2862,2717,3807,2495,3736,2517,3220,3618,2585,2768,2782,3463,5028,2571
1204,5103,1657,2787,1988,2513,1327,3199,4080,3962,2635,3947,2869,2706,3790,2472,3719,2494,3238,3590,2585,2767,2764,3453,5009,2583
1205,5071,1644,2771,1997,2505,1317,3202,4069,3937,2637,3915,2908,2711,3768,2464,3712,2492,3208,3577,2570,2776,2741,3448,4987,2601
1206,5067,1645,2768,1987,2504,1321,3199,4055,3928,2643,3903,2930,2713,3775,2475,3690,2490,3215,3568,2560,2776,2736,3450,4974,2638
1207,5051,1640,2767,1983,2495,1327,3191,4044,3925,2639,3882,2930,2704,3759,2479,3693,2487,3209,3546,2545,2779,2741,3435,4964,2622
1208,5048,1638,2750,1976,2501,1331,3198,4028,3914,2618,3866,2928,2696,3742,2457,3679,2482,3198,3525,2528,2782,2734,3443,4938,2632
1209,5001,1637,2755,1962,2496,1328,3194,4010,3876,2614,3858,2918,2700,3739,2440,3660,2487,3203,3520,2529,2769,2735,3448,4919,2628
1210,4996,1621,2740,1965,2486,1332,3172,3968,3827,2618,3838,2914,2704,3747,2432,3667,2483,3189,3510,2517,2756,2734,3439,4900,2638
1211,4984,1626,2729,1952,2473,1330,3153,3941,3797,2606,3810,2915,2695,3743,2426,3641,2470,3178,3491,2519,2749,2719,3437,4876,2640
1212,4994,1636,2738,1947,2469,1340,3143,3942,3760,2583,3795,2912,2697,3772,2582,3621,2463,3166,3460,2514,2741,2705,3599,4841,2701
1301,4949,1635,2727,1931,2464,1322,3155,3911,3712,2580,3756,2891,2694,3741,2505,3597,2462,3152,3422,2523,2732,2691,3492,4822,2649
1302,4936,1629,2708,1923,2471,1327,3145,3866,3661,2557,3749,2886,2666,3703,2446,3589,2435,3115,3407,2516,2719,2689,3416,4813,2625
1303,4901,1617,2703,1899,2472,1338,3123,3855,3627,2567,3743,2853,2649,3718,2409,3581,2411,3129,3367,2622,2709,2671,3387,4812,2608
1304,4913,1612,2685,1886,2456,1332,3108,3844,3618,2558,3745,2849,2638,3681,2394,3593,2389,3141,3354,2621,2686,2659,3370,4786,2592
1305,4891,1601,2682,1885,2425,1336,3095,3830,3598,2559,3735,2838,2627,3666,2370,3587,2377,3131,3352,2615,2676,2634,3340,4793,2572
1306,4891,1625,2688,1879,2424,1332,3096,3828,3576,2536,3713,2850,2635,3667,2375,3571,2371,3123,3323,2605,2678,2626,3352,4785,2545
1307,4897,1613,2698,1881,2427,1325,3122,3826,3563,2539,3694,2835,2624,3649,2381,3584,2360,3107,3321,2589,2680,2629,3328,4747,2540
1308,4898,1629,2717,1871,2420,1331,3105,3796,3548,2534,3692,2829,2626,3637,2363,3586,2358,3093,3302,2594,2659,2623,3307,4729,2544
1309,4897,1627,2717,1870,2427,1330,3095,3791,3539,2526,3684,2823,2631,3622,2354,3572,2357,3077,3299,2600,2648,2624,3297,4733,2544
1310,4870,1628,2711,1855,2432,1332,3081,3769,3499,2506,3669,2869,2617,3602,2329,3540,2353,3071,3272,2587,2648,2632,3328,4722,2565
1311,4854,1630,2706,1858,2439,1334,3059,3750,3482,2510,3670,2846,2618,3600,2334,3528,2356,3061,3252,2579,2623,2626,3478,4705,2604
1312,4848,1641,2711,1866,2436,1339,3069,3751,3466,2515,3671,2854,2601,3684,2332,3502,2388,3066,3246,2561,2635,2599,3559,4696,2657
1401,4840,1646,2699,1855,2428,1332,3057,3746,3427,2506,3657,2838,2602,3664,2337,3479,2382,3043,3230,2551,2649,2591,3437,4681,2612
1402,4824,1650,2712,1841,2445,1321,3079,3723,3403,2487,3655,2826,2581,3622,2342,3445,2363,3005,3205,2546,2631,2581,3374,4645,2579
1403,4795,1656,2698,1829,2437,1326,3070,3694,3381,2470,3630,2796,2585,3591,2334,3448,2370,2975,3174,2520,2625,2585,3338,4608,2523
1404,4801,1684,2697,1829,2425,1332,3076,3707,3370,2480,3619,2776,2573,3592,2347,3463,2376,2952,3194,2527,2622,2595,3309,4580,2523
1405,4790,1705,2696,1823,2414,1325,3097,3682,3359,2481,3599,2778,2566,3579,2342,3460,2358,2941,3208,2514,2617,2584,3297,4567,2515
1406,4775,1685,2676,1824,2406,1319,3088,3662,3352,2484,3584,2776,2564,3542,2327,3440,2348,2934,3210,2500,2608,2568,3272,4562,2482
1407,4754,1662,2658,1819,2403,1304,3085,3645,3344,2468,3576,2761,2552,3513,2307,3437,2336,2941,3209,2477,2604,2561,3251,4552,2471
1408,4724,1649,2660,1802,2400,1302,3078,3627,3322,2458,3558,2746,2550,3485,2290,3430,2323,2930,3202,2470,2593,2560,3231,4518,2475
1409,4708,1649,2643,1783,2383,1296,3053,3630,3300,2438,3542,2732,2550,3483,2284,3399,2307,2904,3186,2441,2591,2562,3214,4510,2474
1410,4683,1658,2634,1784,2374,1285,3036,3607,3302,2454,3521,2749,2545,3459,2274,3384,2313,2885,3193,2439,2572,2547,3205,4508,2464
1411,4663,1647,2627,1792,2368,1288,3019,3595,3301,2450,3525,2743,2547,3480,2255,3389,2317,2893,3195,2424,2574,2535,3256,4510,2472
1412,4653,1651,2612,1792,2365,1283,3000,3574,3274,2431,3533,2775,2524,3639,2266,3358,2347,2877,3208,2411,2583,2522,3594,4472,2611
1501,4642,1638,2602,1775,2353,1274,2985,3545,3243,2402,3501,2745,2527,3503,2249,3337,2330,2873,3198,2386,2563,2526,3379,4430,2526
1502,4625,1622,2589,1775,2350,1263,2998,3526,3236,2388,3483,2718,2523,3451,2226,3316,2301,2849,3166,2406,2562,2519,3320,4397,2495
1503,4624,1616,2585,1786,2330,1251,2991,3496,3200,2382,3458,2694,2536,3406,2210,3305,2269,2855,3156,2410,2557,2506,3282,4362,2475
1504,4606,1611,2594,1792,2345,1250,2984,3488,3176,2368,3417,2714,2527,3385,2199,3314,2257,2853,3149,2407,2547,2504,3259,4345,2447
1505,4594,1612,2590,1793,2342,1232,2965,3465,3164,2348,3403,2694,2521,3345,2189,3288,2254,2843,3136,2393,2529,2495,3244,4348,2427
1506,4573,1613,2609,1792,2336,1232,2956,3465,3153,2340,3405,2672,2514,3324,2164,3285,2239,2845,3127,2377,2522,2486,3224,4348,2426
1507,4547,1604,2604,1791,2323,1227,2973,3449,3147,2339,3398,2654,2508,3318,2162,3280,2248,2834,3118,2373,2508,2494,3218,4344,2416
1508,4531,1599,2611,1795,2310,1236,2952,3411,3129,2334,3409,2636,2509,3311,2140,3274,2217,2832,3117,2379,2513,2493,3200,4317,2396
1509,4517,1591,2604,1804,2304,1234,2958,3391,3119,2328,3404,2615,2507,3279,2131,3282,2210,2821,3112,2388,2499,2508,3179,4305,2400
1510,4492,1592,2591,1802,2330,1229,2955,3387,3111,2334,3420,2615,2486,3263,2129,3275,2207,2800,3102,2413,2486,2518,3185,4293,2405
1511,4507,1588,2603,1796,2336,1219,2952,3370,3088,2335,3425,2623,2486,3276,2137,3277,2281,2790,3090,2400,2486,2531,3331,4283,2421
1512,4528,1584,2630,1809,2380,1218,2955,3378,3086,2326,3459,2761,2486,3372,2129,3291,2357,2783,3102,2395,2496,2530,3743,4290,2581
1601,4498,1582,2596,1797,2351,1218,2954,3361,3071,2317,3434,2688,2463,3297,2106,3276,2281,2766,3087,2395,2489,2523,3479,4278,2505
1602,4500,1575,2581,1784,2322,1196,2958,3345,3027,2299,3416,2638,2453,3245,2079,3302,2232,2745,3054,2380,2478,2535,3377,4249,2469
1603,4499,1556,2561,1776,2310,1182,2968,3343,2999,2282,3383,2627,2431,3210,2053,3324,2205,2744,3047,2381,2472,2519,3325,4228,2443
1604,4490,1544,2561,1771,2291,1178,2946,3352,2994,2265,3382,2604,2422,3207,2039,3350,2196,2739,3070,2374,2467,2520,3262,4190,2439
1605,4479,1544,2557,1783,2283,1173,2940,3333,2969,2277,3380,2614,2416,3201,2027,3376,2191,2745,3061,2370,2467,2534,3247,4175,2428
1606,4470,1533,2551,1781,2290,1188,2950,3342,2974,2279,3351,2621,2418,3188,2033,3413,2187,2744,3057,2363,2447,2539,3195,4187,2442
1607,4472,1528,2553,1788,2295,1188,2947,3324,2984,2278,3352,2618,2423,3175,2045,3458,2166,2743,3052,2356,2454,2528,3194,4175,2458
1608,4455,1515,2530,1772,2295,1192,2947,3329,2976,2263,3315,2612,2439,3150,2047,3488,2149,2742,3043,2354,2447,2518,3176,4159,2436
1609,4437,1525,2524,1768,2292,1188,2941,3328,2963,2251,3298,2610,2430,3133,2033,3501,2157,2736,3028,2344,2442,2526,3156,4155,2447
1610,4402,1530,2520,1761,2298,1196,2950,3334,2956,2248,3292,2599,2419,3118,2034,3515,2147,2750,3027,2340,2427,2510,3149,4150,2449
1611,4375,1547,2524,1756,2314,1194,2920,3324,2961,2274,3274,2607,2426,3111,2028,3515,2198,2759,3027,2341,2427,2502,3109,4139,2459
1612,4387,1566,2529,1756,2410,1192,2925,3326,2932,2271,3273,2726,2461,3180,2069,3494,2354,2758,3037,2321,2435,2498,3172,4142,2577
1701,4341,1561,2514,1756,2359,1195,2917,3297,2926,2265,3224,2675,2472,3112,2052,3508,2285,2717,3023,2315,2419,2495,3122,4090,2500
1702,4323,1564,2487,1745,2321,1180,2914,3268,2910,2242,3209,2641,2467,3060,2027,3475,2241,2698,3009,2283,2399,2491,3075,4035,2482
1703,4318,1564,2476,1735,2303,1178,2877,3250,2882,2226,3194,2622,2461,3043,2014,3461,2235,2688,3013,2304,2412,2476,3049,4020,2457
1704,4309,1568,2491,1731,2289,1175,2878,3236,2880,2210,3178,2617,2459,3013,2014,3466,2229,2674,3011,2311,2397,2470,3055,4020,2464
1705,4296,1559,2486,1729,2288,1174,2865,3234,2885,2199,3190,2600,2449,3011,2011,3441,2209,2679,3018,2303,2374,2464,3044,4019,2446
1706,4285,1536,2502,1730,2281,1170,2841,3208,2890,2209,3179,2579,2452,2980,2003,3413,2202,2664,2999,2292,2359,2455,3049,4007,2442
1707,4264,1538,2504,1710,2279,1164,2831,3195,2885,2223,3177,2557,2441,2983,1985,3491,2201,2640,3007,2304,2351,2459,3053,4000,2433
1708,4233,1538,2501,1691,2272,1159,2836,3189,2879,2222,3167,2556,2433,2985,1972,3576,2194,2644,2995,2291,2339,2458,3065,3985,2441
1709,4246,1527,2510,1693,2270,1159,2819,3197,2892,2217,3150,2536,2430,2974,1966,3664,2175,2648,2995,2287,2318,2444,3137,3976,2432
1710,4253,1537,2520,1689,2261,1144,2804,3197,2890,2199,3136,2537,2436,2971,1969,3719,2171,2637,3000,2286,2310,2441,3146,3972,2428
1711,4247,1534,2522,1679,2288,1141,2798,3193,2886,2192,3129,2644,2454,2989,1977,3774,2198,2628,2998,2297,2309,2448,3149,3950,2463
1712,4241,1534,2538,1665,2394,1139,2779,3185,2872,2179,3118,2739,2510,3020,2016,3854,2343,2622,3001,2309,2307,2439,3119,3942,2510
예측,Forecast,,,,,,,,,,,,,,,,,,,,,,,,
